Year,NOC,Sex,Sport,Bronze,Gold,Silver,participates
2020,ALG,F,Boxing,0,0,0,3
2024,ALG,F,Boxing,0,1,0,3
2020,ALG,F,Canoeing,0,0,0,1
2024,ALG,F,Canoeing,0,0,0,1
2024,ALG,F,Cycling,0,0,0,1
1996,ALG,F,Fencing,0,0,0,1
2000,ALG,F,Fencing,0,0,0,2
2004,ALG,F,Fencing,0,0,0,2
2008,ALG,F,Fencing,0,0,0,2
2012,ALG,F,Fencing,0,0,0,2
2016,ALG,F,Fencing,0,0,0,1
2020,ALG,F,Fencing,0,0,0,2
2024,ALG,F,Fencing,0,0,0,4
2016,ALG,F,Gymnastics,0,0,0,1
2024,ALG,F,Gymnastics,0,1,0,1
1992,ALG,F,Judo,0,0,0,1
1996,ALG,F,Judo,0,0,0,2
2000,ALG,F,Judo,0,0,0,1
2004,ALG,F,Judo,0,0,0,4
2008,ALG,F,Judo,1,0,0,5
2012,ALG,F,Judo,0,0,0,2
2016,ALG,F,Judo,0,0,0,1
2020,ALG,F,Judo,0,0,0,1
2024,ALG,F,Judo,0,0,0,1
2020,ALG,F,Karate,0,0,0,1
1996,ALG,F,Rowing,0,0,0,1
2000,ALG,F,Rowing,0,0,0,1
2012,ALG,F,Rowing,0,0,0,1
2016,ALG,F,Rowing,0,0,0,1
2024,ALG,F,Rowing,0,0,0,1
2016,ALG,F,Sailing,0,0,0,2
2020,ALG,F,Sailing,0,0,0,1
2020,ALG,F,Shooting,0,0,0,1
2024,ALG,F,Shooting,0,0,0,1
2004,ALG,F,Swimming,0,0,0,1
2020,ALG,F,Swimming,0,0,0,2
2024,ALG,F,Swimming,0,0,0,1
2004,ALG,F,Table Tennis,0,0,0,3
2024,ALG,F,Table Tennis,0,0,0,1
1988,ALG,F,Tennis,0,0,0,1
2008,ALG,F,Volleyball,0,0,0,10
2012,ALG,F,Volleyball,0,0,0,11
2000,ALG,F,Weightlifting,0,0,0,1
2004,ALG,F,Weightlifting,0,0,0,1
2008,ALG,F,Weightlifting,0,0,0,1
2016,ALG,F,Weightlifting,0,0,0,1
2024,ALG,F,Wrestling,0,0,0,2
1972,ALG,M,Athletics,0,0,0,4
1980,ALG,M,Athletics,0,0,0,9
1984,ALG,M,Athletics,0,0,0,9
1988,ALG,M,Athletics,0,0,0,11
1992,ALG,M,Athletics,0,0,0,8
1996,ALG,M,Athletics,0,1,0,6
2000,ALG,M,Athletics,2,0,1,16
2004,ALG,M,Athletics,0,0,0,16
2008,ALG,M,Athletics,0,0,0,8
2012,ALG,M,Athletics,0,1,0,5
2016,ALG,M,Athletics,0,0,2,12
2020,ALG,M,Athletics,0,0,0,4
2024,ALG,M,Athletics,1,0,0,7
2008,ALG,M,Badminton,0,0,0,1
2024,ALG,M,Badminton,0,0,0,1
1968,ALG,M,Boxing,0,0,0,2
1972,ALG,M,Boxing,0,0,0,1
1980,ALG,M,Boxing,0,0,0,2
1984,ALG,M,Boxing,2,0,0,7
1988,ALG,M,Boxing,0,0,0,6
1992,ALG,M,Boxing,1,0,0,8
1996,ALG,M,Boxing,1,1,0,6
2000,ALG,M,Boxing,1,0,0,7
2004,ALG,M,Boxing,0,0,0,7
2008,ALG,M,Boxing,0,0,0,7
2012,ALG,M,Boxing,0,0,0,8
2016,ALG,M,Boxing,0,0,0,8
2020,ALG,M,Boxing,0,0,0,5
2024,ALG,M,Boxing,0,0,0,2
1988,ALG,M,Cycling,0,0,0,2
2008,ALG,M,Cycling,0,0,0,1
2012,ALG,M,Cycling,0,0,0,1
2016,ALG,M,Cycling,0,0,0,2
2020,ALG,M,Cycling,0,0,0,2
2024,ALG,M,Cycling,0,0,0,1
1980,ALG,M,Fencing,0,0,0,1
1996,ALG,M,Fencing,0,0,0,1
2004,ALG,M,Fencing,0,0,0,5
2016,ALG,M,Fencing,0,0,0,1
2020,ALG,M,Fencing,0,0,0,2
2024,ALG,M,Fencing,0,0,0,1
1980,ALG,M,Football,0,0,0,14
2016,ALG,M,Football,0,0,0,18
1964,ALG,M,Gymnastics,0,0,0,1
1968,ALG,M,Gymnastics,0,0,0,1
2000,ALG,M,Gymnastics,0,0,0,1
2016,ALG,M,Gymnastics,0,0,0,1
1980,ALG,M,Handball,0,0,0,14
1984,ALG,M,Handball,0,0,0,15
1988,ALG,M,Handball,0,0,0,14
1996,ALG,M,Handball,0,0,0,16
1980,ALG,M,Judo,0,0,0,3
1988,ALG,M,Judo,0,0,0,5
1992,ALG,M,Judo,0,0,0,2
1996,ALG,M,Judo,0,0,0,4
2000,ALG,M,Judo,0,0,0,6
2004,ALG,M,Judo,0,0,0,7
2008,ALG,M,Judo,0,0,1,5
2016,ALG,M,Judo,0,0,0,4
2020,ALG,M,Judo,0,0,0,1
2024,ALG,M,Judo,0,0,0,2
2000,ALG,M,Rowing,0,0,0,1
2004,ALG,M,Rowing,0,0,0,1
2008,ALG,M,Rowing,0,0,0,3
2016,ALG,M,Rowing,0,0,0,1
2020,ALG,M,Rowing,0,0,0,2
2024,ALG,M,Rowing,0,0,0,1
2016,ALG,M,Sailing,0,0,0,1
2020,ALG,M,Sailing,0,0,0,1
2024,ALG,M,Sailing,0,0,0,1
2012,ALG,M,Shooting,0,0,0,1
2016,ALG,M,Shooting,0,0,0,1
2024,ALG,M,Shooting,0,0,0,2
1980,ALG,M,Swimming,0,0,0,5
1992,ALG,M,Swimming,0,0,0,1
1996,ALG,M,Swimming,0,0,0,1
2000,ALG,M,Swimming,0,0,0,2
2004,ALG,M,Swimming,0,0,0,5
2008,ALG,M,Swimming,0,0,0,5
2012,ALG,M,Swimming,0,0,0,1
2016,ALG,M,Swimming,0,0,0,1
2020,ALG,M,Swimming,0,0,0,1
2024,ALG,M,Swimming,0,0,0,1
2000,ALG,M,Table Tennis,0,0,0,2
2004,ALG,M,Table Tennis,0,0,0,2
2008,ALG,M,Table Tennis,0,0,0,1
2020,ALG,M,Table Tennis,0,0,0,1
2024,ALG,M,Table Tennis,0,0,0,1
2012,ALG,M,Taekwondo,0,0,0,1
2004,ALG,M,Tennis,0,0,0,1
1992,ALG,M,Volleyball,0,0,0,10
1980,ALG,M,Weightlifting,0,0,0,3
1984,ALG,M,Weightlifting,0,0,0,2
1988,ALG,M,Weightlifting,0,0,0,2
1992,ALG,M,Weightlifting,0,0,0,2
1996,ALG,M,Weightlifting,0,0,0,3
2004,ALG,M,Weightlifting,0,0,0,1
2012,ALG,M,Weightlifting,0,0,0,1
2016,ALG,M,Weightlifting,0,0,0,1
2020,ALG,M,Weightlifting,0,0,0,1
2024,ALG,M,Weightlifting,0,0,0,1
1980,ALG,M,Wrestling,0,0,0,3
1992,ALG,M,Wrestling,0,0,0,2
1996,ALG,M,Wrestling,0,0,0,2
2000,ALG,M,Wrestling,0,0,0,2
2004,ALG,M,Wrestling,0,0,0,1
2008,ALG,M,Wrestling,0,0,0,3
2012,ALG,M,Wrestling,0,0,0,3
2016,ALG,M,Wrestling,0,0,0,3
2020,ALG,M,Wrestling,0,0,0,8
2024,ALG,M,Wrestling,0,0,0,6
1992,AND,F,Athletics,0,0,0,1
2000,AND,F,Athletics,0,0,0,1
2004,AND,F,Athletics,0,0,0,1
2008,AND,F,Athletics,0,0,0,1
2012,AND,F,Athletics,0,0,0,1
2008,AND,F,Canoeing,0,0,0,1
2020,AND,F,Canoeing,0,0,0,1
2024,AND,F,Canoeing,0,0,0,1
2016,AND,F,Judo,0,0,0,1
1996,AND,F,Sailing,0,0,0,1
2016,AND,F,Shooting,0,0,0,1
1996,AND,F,Swimming,0,0,0,1
2000,AND,F,Swimming,0,0,0,1
2004,AND,F,Swimming,0,0,0,1
2012,AND,F,Swimming,0,0,0,1
1988,AND,M,Athletics,0,0,0,1
1996,AND,M,Athletics,0,0,0,1
2000,AND,M,Athletics,0,0,0,1
2004,AND,M,Athletics,0,0,0,1
2008,AND,M,Athletics,0,0,0,1
2012,AND,M,Athletics,0,0,0,1
2016,AND,M,Athletics,0,0,0,1
2020,AND,M,Athletics,0,0,0,1
2024,AND,M,Athletics,0,0,0,1
1976,AND,M,Boxing,0,0,0,1
1988,AND,M,Cycling,0,0,0,2
1992,AND,M,Cycling,0,0,0,3
1992,AND,M,Judo,0,0,0,1
1996,AND,M,Judo,0,0,0,1
2004,AND,M,Judo,0,0,0,1
2008,AND,M,Judo,0,0,0,1
2012,AND,M,Judo,0,0,0,1
1992,AND,M,Sailing,0,0,0,2
1996,AND,M,Sailing,0,0,0,2
1976,AND,M,Shooting,0,0,0,2
1980,AND,M,Shooting,0,0,0,2
1984,AND,M,Shooting,0,0,0,2
1992,AND,M,Shooting,0,0,0,1
1996,AND,M,Shooting,0,0,0,1
2000,AND,M,Shooting,0,0,0,1
2004,AND,M,Shooting,0,0,0,1
2012,AND,M,Shooting,0,0,0,1
1996,AND,M,Swimming,0,0,0,1
2000,AND,M,Swimming,0,0,0,1
2004,AND,M,Swimming,0,0,0,1
2008,AND,M,Swimming,0,0,0,1
2012,AND,M,Swimming,0,0,0,1
2016,AND,M,Swimming,0,0,0,1
1988,ANG,F,Athletics,0,0,0,1
1992,ANG,F,Athletics,0,0,0,1
1996,ANG,F,Athletics,0,0,0,1
2000,ANG,F,Athletics,0,0,0,1
2012,ANG,F,Athletics,0,0,0,1
2016,ANG,F,Athletics,0,0,0,1
2012,ANG,F,Basketball,0,0,0,12
1996,ANG,F,Handball,0,0,0,13
2000,ANG,F,Handball,0,0,0,13
2004,ANG,F,Handball,0,0,0,15
2008,ANG,F,Handball,0,0,0,14
2012,ANG,F,Handball,0,0,0,14
2016,ANG,F,Handball,0,0,0,15
2020,ANG,F,Handball,0,0,0,14
2024,ANG,F,Handball,0,0,0,15
2004,ANG,F,Judo,0,0,0,1
2012,ANG,F,Judo,0,0,0,1
2016,ANG,F,Judo,0,0,0,1
2020,ANG,F,Judo,0,0,0,1
2024,ANG,F,Sailing,0,0,0,1
1980,ANG,F,Swimming,0,0,0,1
1988,ANG,F,Swimming,0,0,0,4
1992,ANG,F,Swimming,0,0,0,2
1996,ANG,F,Swimming,0,0,0,1
2000,ANG,F,Swimming,0,0,0,1
2008,ANG,F,Swimming,0,0,0,1
2012,ANG,F,Swimming,0,0,0,1
2016,ANG,F,Swimming,0,0,0,1
2020,ANG,F,Swimming,0,0,0,1
2024,ANG,F,Swimming,0,0,0,1
1980,ANG,M,Athletics,0,0,0,3
1988,ANG,M,Athletics,0,0,0,5
1992,ANG,M,Athletics,0,0,0,4
1996,ANG,M,Athletics,0,0,0,1
2000,ANG,M,Athletics,0,0,0,1
2004,ANG,M,Athletics,0,0,0,1
2008,ANG,M,Athletics,0,0,0,1
2012,ANG,M,Athletics,0,0,0,1
2016,ANG,M,Athletics,0,0,0,1
2020,ANG,M,Athletics,0,0,0,1
2024,ANG,M,Athletics,0,0,0,1
1992,ANG,M,Basketball,0,0,0,12
1996,ANG,M,Basketball,0,0,0,11
2000,ANG,M,Basketball,0,0,0,12
2004,ANG,M,Basketball,0,0,0,12
2008,ANG,M,Basketball,0,0,0,12
1980,ANG,M,Boxing,0,0,0,3
1988,ANG,M,Boxing,0,0,0,3
1992,ANG,M,Boxing,0,0,0,1
2008,ANG,M,Canoeing,0,0,0,1
2012,ANG,M,Canoeing,0,0,0,2
2024,ANG,M,Canoeing,0,0,0,2
1988,ANG,M,Judo,0,0,0,7
1992,ANG,M,Judo,0,0,0,4
2024,ANG,M,Judo,0,0,0,1
2016,ANG,M,Rowing,0,0,0,2
2024,ANG,M,Rowing,0,0,0,1
1992,ANG,M,Sailing,0,0,0,3
2016,ANG,M,Sailing,0,0,0,3
2020,ANG,M,Sailing,0,0,0,2
2024,ANG,M,Sailing,0,0,0,2
1996,ANG,M,Shooting,0,0,0,1
2000,ANG,M,Shooting,0,0,0,1
2016,ANG,M,Shooting,0,0,0,1
1980,ANG,M,Swimming,0,0,0,4
1988,ANG,M,Swimming,0,0,0,4
1992,ANG,M,Swimming,0,0,0,1
2000,ANG,M,Swimming,0,0,0,1
2004,ANG,M,Swimming,0,0,0,1
2008,ANG,M,Swimming,0,0,0,1
2012,ANG,M,Swimming,0,0,0,1
2016,ANG,M,Swimming,0,0,0,1
2020,ANG,M,Swimming,0,0,0,1
2024,ANG,M,Swimming,0,0,0,1
2008,ANG,M,Volleyball,0,0,0,2
1984,ANT,F,Athletics,0,0,0,4
1988,ANT,F,Athletics,0,0,0,3
1992,ANT,F,Athletics,0,0,0,2
1996,ANT,F,Athletics,0,0,0,4
2000,ANT,F,Athletics,0,0,0,1
2004,ANT,F,Athletics,0,0,0,1
2008,ANT,F,Athletics,0,0,0,1
2012,ANT,F,Athletics,0,0,0,1
2016,ANT,F,Athletics,0,0,0,1
2020,ANT,F,Athletics,0,0,0,1
2024,ANT,F,Athletics,0,0,0,1
1996,ANT,F,Canoeing,0,0,0,1
1992,ANT,F,Sailing,0,0,0,2
2020,ANT,F,Sailing,0,0,0,1
2004,ANT,F,Swimming,0,0,0,1
2012,ANT,F,Swimming,0,0,0,1
2016,ANT,F,Swimming,0,0,0,1
2020,ANT,F,Swimming,0,0,0,1
2024,ANT,F,Swimming,0,0,0,1
1976,ANT,M,Athletics,0,0,0,8
1984,ANT,M,Athletics,0,0,0,6
1988,ANT,M,Athletics,0,0,0,7
1992,ANT,M,Athletics,0,0,0,3
1996,ANT,M,Athletics,0,0,0,4
2000,ANT,M,Athletics,0,0,0,1
2004,ANT,M,Athletics,0,0,0,2
2008,ANT,M,Athletics,0,0,0,3
2012,ANT,M,Athletics,0,0,0,2
2016,ANT,M,Athletics,0,0,0,5
2020,ANT,M,Athletics,0,0,0,1
2024,ANT,M,Athletics,0,0,0,1
1988,ANT,M,Boxing,0,0,0,2
2020,ANT,M,Boxing,0,0,0,1
1996,ANT,M,Canoeing,0,0,0,2
1976,ANT,M,Cycling,0,0,0,2
1984,ANT,M,Cycling,0,0,0,3
1988,ANT,M,Cycling,0,0,0,2
1992,ANT,M,Cycling,0,0,0,3
1996,ANT,M,Cycling,0,0,0,1
1984,ANT,M,Sailing,0,0,0,1
1988,ANT,M,Sailing,0,0,0,1
1992,ANT,M,Sailing,0,0,0,3
1996,ANT,M,Sailing,0,0,0,1
2000,ANT,M,Sailing,0,0,0,1
2024,ANT,M,Sailing,0,0,0,1
2004,ANT,M,Swimming,0,0,0,1
2008,ANT,M,Swimming,0,0,0,1
2016,ANT,M,Swimming,0,0,0,1
2020,ANT,M,Swimming,0,0,0,1
2024,ANT,M,Swimming,0,0,0,1
1912,ANZ,F,Swimming,0,1,1,2
1908,ANZ,M,Athletics,1,0,0,9
1912,ANZ,M,Athletics,0,0,0,5
1908,ANZ,M,Boxing,0,0,1,1
1908,ANZ,M,Diving,0,0,0,1
1912,ANZ,M,Rowing,0,0,0,10
1908,ANZ,M,Rugby,0,1,0,15
1908,ANZ,M,Shooting,0,0,0,1
1908,ANZ,M,Swimming,1,0,1,5
1912,ANZ,M,Swimming,2,1,1,7
1912,ANZ,M,Tennis,1,0,0,1
1948,ARG,F,Athletics,0,0,1,2
1952,ARG,F,Athletics,0,0,0,6
1956,ARG,F,Athletics,0,0,0,1
1964,ARG,F,Athletics,0,0,0,4
1968,ARG,F,Athletics,0,0,0,1
1972,ARG,F,Athletics,0,0,0,1
1984,ARG,F,Athletics,0,0,0,3
1992,ARG,F,Athletics,0,0,0,1
1996,ARG,F,Athletics,0,0,0,4
2000,ARG,F,Athletics,0,0,0,5
2004,ARG,F,Athletics,0,0,0,5
2008,ARG,F,Athletics,0,0,0,3
2012,ARG,F,Athletics,0,0,0,3
2016,ARG,F,Athletics,0,0,0,6
2020,ARG,F,Athletics,0,0,0,2
2024,ARG,F,Athletics,0,0,0,3
2020,ARG,F,Boxing,0,0,0,1
1988,ARG,F,Canoeing,0,0,0,3
2004,ARG,F,Canoeing,0,0,0,1
2008,ARG,F,Canoeing,0,0,0,1
2016,ARG,F,Canoeing,0,0,0,4
2020,ARG,F,Canoeing,0,0,0,1
2024,ARG,F,Canoeing,0,0,0,1
1996,ARG,F,Cycling,0,0,0,1
2000,ARG,F,Cycling,0,0,0,1
2004,ARG,F,Cycling,0,0,0,1
2008,ARG,F,Cycling,0,0,0,2
2016,ARG,F,Cycling,0,0,0,1
2020,ARG,F,Cycling,0,0,0,1
1960,ARG,F,Diving,0,0,0,1
1984,ARG,F,Diving,0,0,0,1
1988,ARG,F,Diving,0,0,0,1
1992,ARG,F,Diving,0,0,0,2
2000,ARG,F,Diving,0,0,0,1
1948,ARG,F,Fencing,0,0,0,3
1952,ARG,F,Fencing,0,0,0,1
1964,ARG,F,Fencing,0,0,0,1
1968,ARG,F,Fencing,0,0,0,1
1972,ARG,F,Fencing,0,0,0,1
1984,ARG,F,Fencing,0,0,0,4
1992,ARG,F,Fencing,0,0,0,3
1996,ARG,F,Fencing,0,0,0,3
2000,ARG,F,Fencing,0,0,0,1
2004,ARG,F,Fencing,0,0,0,1
2012,ARG,F,Fencing,0,0,0,1
2016,ARG,F,Fencing,0,0,0,1
2020,ARG,F,Fencing,0,0,0,1
2008,ARG,F,Football,0,0,0,15
2020,ARG,F,Golf,0,0,0,1
1992,ARG,F,Gymnastics,0,0,0,2
1996,ARG,F,Gymnastics,0,0,0,1
2000,ARG,F,Gymnastics,0,0,0,1
2004,ARG,F,Gymnastics,0,0,0,1
2012,ARG,F,Gymnastics,0,0,0,1
2016,ARG,F,Gymnastics,0,0,0,1
2020,ARG,F,Gymnastics,0,0,0,1
2016,ARG,F,Handball,0,0,0,15
1988,ARG,F,Hockey,0,0,0,15
1996,ARG,F,Hockey,0,0,0,16
2000,ARG,F,Hockey,0,0,1,15
2004,ARG,F,Hockey,1,0,0,15
2008,ARG,F,Hockey,1,0,0,15
2012,ARG,F,Hockey,0,0,1,15
2016,ARG,F,Hockey,0,0,0,16
2020,ARG,F,Hockey,0,0,1,18
2024,ARG,F,Hockey,1,0,0,16
1992,ARG,F,Judo,0,0,0,2
1996,ARG,F,Judo,0,0,0,1
2000,ARG,F,Judo,0,0,0,2
2004,ARG,F,Judo,0,0,0,2
2008,ARG,F,Judo,1,0,0,3
2012,ARG,F,Judo,0,0,0,1
2016,ARG,F,Judo,0,1,0,1
2020,ARG,F,Judo,0,0,0,1
2024,ARG,F,Judo,0,0,0,1
2016,ARG,F,Modern Pentathlon,0,0,0,1
1996,ARG,F,Rowing,0,0,0,5
2000,ARG,F,Rowing,0,0,0,3
2004,ARG,F,Rowing,0,0,0,3
2008,ARG,F,Rowing,0,0,0,1
2012,ARG,F,Rowing,0,0,0,5
2016,ARG,F,Rowing,0,0,0,1
2020,ARG,F,Rowing,0,0,0,2
2024,ARG,F,Rowing,0,0,0,2
1992,ARG,F,Sailing,0,0,0,2
1996,ARG,F,Sailing,0,0,0,4
2000,ARG,F,Sailing,1,0,0,3
2004,ARG,F,Sailing,0,0,0,4
2008,ARG,F,Sailing,0,0,0,4
2012,ARG,F,Sailing,0,0,0,4
2016,ARG,F,Sailing,0,1,0,5
2020,ARG,F,Sailing,0,0,0,7
2024,ARG,F,Sailing,0,0,1,4
1996,ARG,F,Shooting,0,0,0,3
2000,ARG,F,Shooting,0,0,0,1
2016,ARG,F,Shooting,0,0,0,3
2020,ARG,F,Shooting,0,0,0,2
2024,ARG,F,Shooting,0,0,0,1
1936,ARG,F,Swimming,0,0,1,1
1948,ARG,F,Swimming,0,0,0,6
1952,ARG,F,Swimming,0,0,0,1
1964,ARG,F,Swimming,0,0,0,1
1968,ARG,F,Swimming,0,0,0,3
1972,ARG,F,Swimming,0,0,0,2
1976,ARG,F,Swimming,0,0,0,4
1984,ARG,F,Swimming,0,0,0,2
1988,ARG,F,Swimming,0,0,0,2
1996,ARG,F,Swimming,0,0,0,5
2000,ARG,F,Swimming,0,0,0,6
2004,ARG,F,Swimming,1,0,0,5
2008,ARG,F,Swimming,0,0,0,5
2012,ARG,F,Swimming,0,0,0,2
2016,ARG,F,Swimming,0,0,0,2
2020,ARG,F,Swimming,0,0,0,4
2024,ARG,F,Swimming,0,0,0,2
2012,ARG,F,Synchronized Swimming,0,0,0,2
2016,ARG,F,Synchronized Swimming,0,0,0,2
1988,ARG,F,Table Tennis,0,0,0,1
1992,ARG,F,Table Tennis,0,0,0,2
2004,ARG,F,Taekwondo,0,0,0,1
